NCAA Name,Team Code,Org,Org-Division,Team Name (standardized),Nickname ,logo,Hex value (Team Colors)
Michigan State,416,NCAA,Division 1,Michigan State, Spartans,MSU.png,#000000 #FFFFFF #1C453A
Michigan,418,NCAA,Division 1,Michigan, Wolverines,MICH.png,#FFFFFF #FAC417 #272341
Minnesota,428,NCAA,Division 1,Minnesota, Golden Gophers,MINN.png,#FFFFFF #FFF63E #7F011B
Nebraska,463,NCAA,Division 1,Nebraska, Cornhuskers,NEB.png,#FFFFFF #F20017
Northwestern,509,NCAA,Division 1,Northwestern, Wildcats,NW.png,#000000 #FFFFFF #393996
Ohio State,518,NCAA,Division 1,Ohio State, Buckeyes,OSU.png,#C5CCCF #080808 #FFFFFF #DE3121
Penn State,539,NCAA,Division 1,Penn State, Nittany Lions,PSU.png,#FFFFFF #00265D
Purdue,559,NCAA,Division 1,Purdue, Boilermakers,PUR.png,#9FA3A6 #FFFFFF #B89D29 #000000
Rutgers,587,NCAA,Division 1,Rutgers, Scarlet Knights,RUTG.png,#0E1112 #FFFFFF #EE363D
Wisconsin,796,NCAA,Division 1,Wisconsin, Badgers,WIS.png,#FFFFFF #000000 #A00000
Bucknell,83,NCAA,Division 1,Bucknell, Bison,BUCK.png,#FFFFFF #FF7000 #000064
Colgate,153,NCAA,Division 1,Colgate, Raiders,COLG.png,#241F20 #FFFFFF #8B011D
Fordham,236,NCAA,Division 1,Fordham, Rams,FOR.png,#1E1A1B #FFFFFF #830032
Georgetown,251,NCAA,Division 1,Georgetown, Hoyas,GTWN.png,#AC928A #FFFFFF #49487C
Holy Cross,285,NCAA,Division 1,Holy Cross, Crusaders,HC.png,#909095 #FFFFFF #1B2154 #090909
Lafayette,342,NCAA,Division 1,Lafayette, Leopards,LAF.png,#FFFFFF #0B070B #CDBDA3 #9A0024
Lehigh,352,NCAA,Division 1,Lehigh, Mountain Hawks,LEH.png,#FFFFFF #653600 #CFAB7A #994708
Albany (N.Y.),14,NCAA,Division 1,Albany (N.Y.), Great Danes,ALBY.png,#FFFFFF #FCBB0D #3D2777
Central Conn. St.,127,NCAA,Division 1,Central Conn. St., Bears,CARK.png,#939BA1 #FFFFFF #4F2683
Monmouth,439,NCAA,Division 1,Monmouth, Hawks,MONM.png,#D7D8D8 #FFFFFF #051844
Robert Morris,579,NCAA,Division 1,Robert Morris, Colonials,RMU.png,#BEB9B4 #FFFFFF #AF1C2E #00214D
Sacred Heart,590,NCAA,Division 1,Sacred Heart, Pioneers,SHU.png,#B1B3B6 #FFFFFF #CE1040
St. Francis (Pa.),600,NCAA,Division 1,St. Francis (Pa.), Terriers,SFPA.png,#FFFFFF #1E1719 #F41650
Stony Brook,683,NCAA,Division 1,Stony Brook, Seawolves,STON.png,#FFFFFF #B33A4E #115F9A
Wagner,748,NCAA,Division 1,Wagner, Seahawks,WAG.png,#BABCBE #FFFFFF #00483A
Illinois State,299,NCAA,Division 1,Illinois State, Redbirds,ILST.png,#FEE818 #FFFFFF #010000 #E61731
Indiana State,305,NCAA,Division 1,Indiana State, Sycamores,INST.png,#FFFFFF #00669A
Northern Iowa,504,NCAA,Division 1,Northern Iowa, Panthers,UNI.png,#FFFFFF #E4AE2F #473282
Southern Illinois,659,NCAA,Division 1,Southern Illinois, Salukis,SIU.png,#FFFFFF #000000 #85283D
Missouri State,669,NCAA,Division 1,Missouri State, Bears,MOSU.png,#000000 #FFFFFF #5F0000
Western Illinois,771,NCAA,Division 1,Western Illinois, Leathernecks,WIU.png,#FFFFFF #DFFF16 #6812BB
Western Kentucky,772,NCAA,Division 1,Western Kentucky, Hilltoppers,WKU.png,#FFFFFF #010000 #F32026
Youngstown State,817,NCAA,Division 1,Youngstown State, Penguins,YSU.png,#FFFFFF #231F20 #E51937
Brown,80,NCAA,Division 1,Brown, Bears,BRWN.png,#000000 #FFFFFF #8A1E04 #543019
Columbia,158,NCAA,Division 1,Columbia, Lions,CLMB.png,#FFFFFF #004B85 #7CC2F1
Cornell,167,NCAA,Division 1,Cornell, Big Red,COR.png,#000000 #FFFFFF #D60027
Dartmouth,172,NCAA,Division 1,Dartmouth, Big Green,DART.png,#FFFFFF #005730
Harvard,275,NCAA,Division 1,Harvard,Crimson,HARV.png, #231F20 #FFFFFF #C41130
Pennsylvania,540,NCAA,Division 1,Pennsylvania, Quakers,PENN.png,#AC0218 #FFFFFF #082A74
Princeton,554,NCAA,Division 1,Princeton, Tigers,PRIN.png,#FFFFFF #231F20 #F9A13A
Yale,813,NCAA,Division 1,Yale, Bulldogs,YALE.png,#FFFFFF #040404 #004A81
Duquesne,194,NCAA,Division 1,Duquesne, Dukes,DUQ.png,#FFFFFF #D31145 #002D62
Iona,310,NCAA,Division 1,Iona, Gaels,IONA.png,#0F0E12 #FFFFFF #FDC10D #910126
La Salle,340,NCAA,Division 1,La Salle, Explorers,LAS.png,#FFFFFF #FFF200 #000F4C
