2011-2012,2011,Conference Championship,CUSA Championship,,03/12/2011,Southern Miss.,664,Houston,288
2011-2012,2011,Conference Championship,MAC Championship,,02/12/2011,Northern Ill.,503,Ohio,519
2011-2012,2011,Conference Championship,SEC Championship,,03/12/2011,LSU,365,Georgia,257
2011-2012,2011,Conference Championship,PAC 12 Championship,,02/12/2011,Oregon,529,UCLA,110
2011-2012,2011,BCS National Championship,BCS National Championship,,09/01/2012,LSU,365,Alabama,8
2012-2013,2012,Conference Championship,ACC Championship,,01/12/2012,Florida St.,234,Georgia Tech,255
2012-2013,2012,Conference Championship,BIG 10 Championship,,01/12/2012,Wisconsin,796,Nebraska,463
2012-2013,2012,Conference Championship,CUSA Championship,,01/12/2012,Tulsa,719,UCF,128
2012-2013,2012,Conference Championship,MAC Championship,,30/11/2012,Northern Ill.,503,Kent St.,331
2012-2013,2012,Conference Championship,PAC 12 Championship,,30/11/2012,Stanford,674,UCLA,110
2012-2013,2012,Conference Championship,SEC Championship,,01/12/2012,Alabama,8,Georgia,257
2012-2013,2012,BCS National Championship,BCS National Championship,,07/01/2013,Notre Dame,513,Alabama,8
2013-2014,2013,Conference Championship,ACC Championship,,07/12/2013,Florida St.,234,Duke,193
2013-2014,2013,Conference Championship,BIG 10 Championship,,07/12/2013,Michigan St.,416,Ohio St.,518
2013-2014,2013,Conference Championship,CUSA Championship,,07/12/2013,Rice,574,Marshall,388
2013-2014,2013,Conference Championship,MAC Championship,,06/12/2013,Bowling Green,71,Northern Ill.,503
2013-2014,2013,Conference Championship,Mountain West Championship,,07/12/2013,Fresno St.,96,Utah St.,731
2013-2014,2013,Conference Championship,PAC 12 Championship,,07/12/2013,Stanford,674,Arizona St.,28
2013-2014,2013,Conference Championship,SEC Championship,,07/12/2013,Auburn,37,Missouri,434
2013-2014,2013,BCS National Championship,BCS National Championship,,06/01/2014,Florida St.,234,Auburn,37
2014-2015,2014,Conference Championship,ACC Championship,,06/12/2014,Florida St.,234,Georgia Tech,255
2014-2015,2014,Conference Championship,BIG 10 Championship,,06/12/2014,Ohio St.,518,Wisconsin,796
2014-2015,2014,Conference Championship,CUSA Championship,,06/12/2014,Marshall,388,Louisiana Tech,366
2014-2015,2014,Conference Championship,MAC Championship,,05/12/2014,Northern Ill.,503,Bowling Green,71
2014-2015,2014,Conference Championship,Mountain West Championship,,06/12/2014,Boise St.,66,Fresno St.,96
2014-2015,2014,Conference Championship,PAC 12 Championship,,05/12/2014,Oregon,529,Arizona,29
2014-2015,2014,Conference Championship,SEC Championship,,06/12/2014,Alabama,8,Missouri,434
2014-2015,2014,CFP Semi-Final,CFP Semi-Final,Sugar Bowl,01/01/2015,Alabama,8,Ohio St.,518
2014-2015,2014,CFP Semi-Final,CFP Semi-Final,Rose Bowl,01/01/2015,Oregon,529,Florida St.,234
2014-2015,2014,CFP National Championship,CFP National Championship,,12/01/2015,Ohio St.,518,Oregon,529
2015-2016,2015,Conference Championship,American Athletic Championship,,05/12/2015,Houston,288,Temple,690
2015-2016,2015,Conference Championship,ACC Championship,,05/12/2015,Clemson,147,North Carolina,457
2015-2016,2015,Conference Championship,BIG 10 Championship,,05/12/2015,Michigan St.,416,Iowa,312
2015-2016,2015,Conference Championship,CUSA Championship,,05/12/2015,Western Ky.,772,Southern Miss.,664
2015-2016,2015,Conference Championship,MAC Championship,,04/12/2015,Bowling Green,71,Northern Ill.,503
