---1996
Date	Bowl	Winner	Pts	Loser	Pts	Notes
1999-12-25	Aloha Classic	Wake Forest	23	Arizona State	3	Honolulu, HI
1999-12-25	Oahu Classic	Hawaii	23	Oregon State	17	Honolulu, HI
1999-12-22	Mobile Alabama Bowl	Texas Christian	28	East Carolina	14	Mobile, AL
1999-12-18	Las Vegas Bowl	Utah	17	Fresno State	16	Las Vegas, NV

---2000
2001-01-03	Orange Bowl	Oklahoma	13	Florida State	2	Miami, FL
2001-01-02	Sugar Bowl	Miami (FL)	37	Florida	20	New Orleans, LA
2001-01-01	Citrus Bowl	Michigan	31	Auburn	28	Orlando, FL
2001-01-01	Cotton Bowl	Kansas State	35	Tennessee	21	Dallas, TX
2001-01-01	Fiesta Bowl	Oregon State	41	Notre Dame	9	Tempe, AZ
2001-01-01	Gator Bowl	Virginia Tech	41	Clemson	20	Jacksonville, FL
2001-01-01	Outback Bowl	South Carolina	24	Ohio State	7	Tampa, FL
2001-01-01	Rose Bowl	Washington	34	Purdue	24	Pasadena, CA
2000-12-31	Independence Bowl	Mississippi State	43	Texas A&M	41	Shreveport, LA
2000-12-31	Silicon Valley Bowl	Air Force	37	Fresno State	34	San Jose, CA
2000-12-30	Alamo Bowl	Nebraska	66	Northwestern	17	San Antonio, TX
2000-12-29	Holiday Bowl	Oregon	35	Texas	30	San Diego, CA
2000-12-29	Liberty Bowl	Colorado State	22	Louisville	17	Memphis, TN
2000-12-29	Peach Bowl	Louisiana State	28	Georgia Tech	14	Atlanta, GA
2000-12-29	Sun Bowl	Wisconsin	21	UCLA	20	El Paso, TX
2000-12-28	Humanitarian Bowl	Boise State	38	Texas-El Paso	23	Boise, ID
2000-12-28	Insight Bowl	Iowa State	37	Pittsburgh	29	Phoenix, AZ
2000-12-28	Micron PC Bowl	North Carolina State	38	Minnesota	30	Miami, FL
2000-12-28	Music City Bowl	West Virginia	49	Mississippi	38	Nashville, TN
2000-12-27	Gallery Furniture Bowl	East Carolina	40	Texas Tech	27	Houston, TX
2000-12-27	Motor City Bowl	Marshall	25	Cincinnati	14	Detroit, MI
2000-12-25	Aloha Classic	Boston College	31	Arizona State	17	Honolulu, HI
2000-12-24	Oahu Classic	Georgia	37	Virginia	14	Honolulu, HI
2000-12-21	Las Vegas Bowl	Nevada-Las Vegas	31	Arkansas	14	Las Vegas, NV
2000-12-20	Mobile Alabama Bowl	Southern Mississippi	28	Texas Christian	21	Mobile, AL

---2001
2002-01-03	Rose Bowl	Miami (FL)	37	Nebraska	14	Pasadena, CA
2002-01-02	Orange Bowl	Florida	56	Maryland	23	Miami, FL
2002-01-01	Citrus Bowl	Tennessee	45	Michigan	17	Orlando, FL
2002-01-01	Cotton Bowl	Oklahoma	10	Arkansas	3	Dallas, TX
2002-01-01	Fiesta Bowl	Oregon	38	Colorado	16	Tempe, AZ
2002-01-01	Gator Bowl	Florida State	30	Virginia Tech	17	Jacksonville, FL
2002-01-01	Outback Bowl	South Carolina	31	Ohio State	28	Tampa, FL
2002-01-01	Sugar Bowl	Louisiana State	47	Illinois	34	New Orleans, LA
2001-12-31	Humanitarian Bowl	Clemson	49	Louisiana Tech	24	Boise, ID
2001-12-31	Liberty Bowl	Louisville	28	Brigham Young	10	Memphis, TN
2001-12-31	Peach Bowl	North Carolina	16	Auburn	10	Atlanta, GA
2001-12-31	Silicon Valley Bowl	Michigan State	44	Fresno State	35	San Jose, CA
2001-12-31	Sun Bowl	Washington State	33	Purdue	27	El Paso, TX
2001-12-29	Alamo Bowl	Iowa	19	Texas Tech	16	San Antonio, TX
2001-12-29	Insight Bowl	Syracuse	26	Kansas State	3	Phoenix, AZ
2001-12-29	Motor City Bowl	Toledo	23	Cincinnati	16	Pontiac, MI
2001-12-28	Gallery Furniture Bowl	Texas A&M	28	Texas Christian	9	Houston, TX
2001-12-28	Holiday Bowl	Texas	47	Washington	43	San Diego, CA
2001-12-28	Music City Bowl	Boston College	20	Georgia	16	Nashville, TN
2001-12-27	Independence Bowl	Alabama	14	Iowa State	13	Shreveport, LA
2001-12-27	Seattle Bowl	Georgia Tech	24	Stanford	14	Seattle, WA
2001-12-25	Las Vegas Bowl	Utah	10	Southern California	6	Las Vegas, NV
2001-12-20	Tangerine Bowl II	Pittsburgh	34	North Carolina State	19	Orlando, FL
2001-12-19	GMAC Bowl	Marshall	64	East Carolina	61	Mobile, AL
2001-12-18	New Orleans Bowl	Colorado State	45	North Texas	20	New Orleans, LA

---2002
2003-01-03	Fiesta Bowl	Ohio State	31	Miami (FL)	24	Tempe, AZ
2003-01-02	Orange Bowl	Southern California	38	Iowa	17	Miami, FL
2003-01-01	Capital One Bowl	Auburn	13	Penn State	9	Orlando, FL
2003-01-01	Cotton Bowl	Texas	35	Louisiana State	20	Dallas, TX
2003-01-01	Gator Bowl	North Carolina State	28	Notre Dame	6	Jacksonville, FL
2003-01-01	Outback Bowl	Michigan	38	Florida	30	Tampa, FL
2003-01-01	Rose Bowl	Oklahoma	34	Washington State	14	Pasadena, CA
2003-01-01	Sugar Bowl	Georgia	26	Florida State	13	New Orleans, LA
2002-12-31	Humanitarian Bowl	Boise State	34	Iowa State	16	Boise, ID
2002-12-31	Liberty Bowl	Texas Christian	17	Colorado State	3	Memphis, TN
2002-12-31	Peach Bowl	Maryland	30	Tennessee	3	Atlanta, GA
2002-12-31	San Francisco Bowl	Virginia Tech	20	Air Force	13	San Francisco, CA
2002-12-31	Silicon Valley Bowl	Fresno State	30	Georgia Tech	21	San Jose, CA
2002-12-31	Sun Bowl	Purdue	34	Washington	24	El Paso, TX
2002-12-30	Music City Bowl	Minnesota	29	Arkansas	14	Nashville, TN
2002-12-30	Seattle Bowl	Wake Forest	38	Oregon	17	Seattle, WA
2002-12-28	Alamo Bowl	Wisconsin	31	Colorado	28	San Antonio, TX
2002-12-28	Continental Tire Bowl	Virginia	48	West Virginia	22	Charlotte, NC
2002-12-27	Holiday Bowl	Kansas State	34	Arizona State	27	San Diego, CA
2002-12-27	Houston Bowl	Oklahoma State	33	Southern Mississippi	23	Houston, TX
2002-12-27	Independence Bowl	Mississippi	27	Nebraska	23	Shreveport, LA
2002-12-26	Insight Bowl	Pittsburgh	38	Oregon State	13	Phoenix, AZ
2002-12-26	Motor City Bowl	Boston College	51	Toledo	25	Detroit, MI
2002-12-25	Hawaii Bowl	Tulane	36	Hawaii	28	Honolulu, HI
2002-12-25	Las Vegas Bowl	UCLA	27	New Mexico	13	Las Vegas, NV
2002-12-23	Tangerine Bowl II	Texas Tech	55	Clemson	15	Orlando, FL
2002-12-18	GMAC Bowl	Marshall	38	Louisville	15	Mobile, AL
2002-12-17	New Orleans Bowl	North Texas	24	Cincinnati	19	New Orleans, LA

---2003
2004-01-04	Sugar Bowl	Louisiana State	21	Oklahoma	14	New Orleans, LA
2004-01-03	Humanitarian Bowl	Georgia Tech	52	Tulsa	10	Boise, ID
2004-01-02	Cotton Bowl	Mississippi	31	Oklahoma State	28	Dallas, TX
2004-01-02	Fiesta Bowl	Ohio State	35	Kansas State	28	Tempe, AZ
2004-01-02	Peach Bowl	Clemson	27	Tennessee	14	Atlanta, GA
2004-01-01	Capital One Bowl	Georgia	34	Purdue	27	Orlando, FL
2004-01-01	Gator Bowl	Maryland	41	West Virginia	7	Jacksonville, FL
2004-01-01	Orange Bowl	Miami (FL)	16	Florida State	14	Miami, FL
2004-01-01	Outback Bowl	Iowa	37	Florida	17	Tampa, FL
2004-01-01	Rose Bowl	Southern California	28	Michigan	14	Pasadena, CA
2003-12-31	Independence Bowl	Arkansas	27	Missouri	14	Shreveport, LA
2003-12-31	Liberty Bowl	Utah	17	Southern Mississippi	0	Memphis, TN
2003-12-31	Music City Bowl	Auburn	28	Wisconsin	14	Nashville, TN
2003-12-31	San Francisco Bowl	Boston College	35	Colorado State	21	San Francisco, CA
2003-12-31	Sun Bowl	Minnesota	31	Oregon	30	El Paso, TX
2003-12-30	Holiday Bowl	Washington State	28	Texas	20	San Diego, CA
2003-12-30	Houston Bowl	Texas Tech	38	Navy	14	Houston, TX
2003-12-30	Silicon Valley Bowl	Fresno State	17	UCLA	9	San Jose, CA
2003-12-29	Alamo Bowl	Nebraska	17	Michigan State	3	San Antonio, TX
2003-12-27	Continental Tire Bowl	Virginia	23	Pittsburgh	16	Charlotte, NC
2003-12-26	Insight Bowl	California	52	Virginia Tech	49	Phoenix, AZ
2003-12-26	Motor City Bowl	Bowling Green State	28	Northwestern	24	Detroit, MI
2003-12-25	Hawaii Bowl	Hawaii	54	Houston	48	Honolulu, HI
2003-12-24	Las Vegas Bowl	Oregon State	55	New Mexico	14	Las Vegas, NV
2003-12-23	Fort Worth Bowl	Boise State	34	Texas Christian	31	Fort Worth, TX
2003-12-22	Tangerine Bowl II	North Carolina State	56	Kansas	26	Orlando, FL
2003-12-18	GMAC Bowl	Miami (OH)	49	Louisville	28	Mobile, AL
2003-12-16	New Orleans Bowl	Memphis	27	North Texas	17	New Orleans, LA

---2004
2005-01-04	Orange Bowl	Southern California	55	Oklahoma	19	Miami, FL
2005-01-03	Sugar Bowl	Auburn	16	Virginia Tech	13	New Orleans, LA
2005-01-01	Capital One Bowl	Iowa	30	Louisiana State	25	Orlando, FL
2005-01-01	Cotton Bowl	Tennessee	38	Texas A&M	7	Dallas, TX
2005-01-01	Fiesta Bowl	Utah	35	Pittsburgh	7	Tempe, AZ
2005-01-01	Gator Bowl	Florida State	30	West Virginia	18	Jacksonville, FL
2005-01-01	Outback Bowl	Georgia	24	Wisconsin	21	Tampa, FL
2005-01-01	Rose Bowl	Texas	38	Michigan	37	Pasadena, CA
2004-12-31	Liberty Bowl	Louisville	44	Boise State	40	Memphis, TN
2004-12-31	Music City Bowl	Minnesota	20	Alabama	16	Nashville, TN
2004-12-31	Peach Bowl	Miami (FL)	27	Florida	10	Atlanta, GA
2004-12-31	Sun Bowl	Arizona State	27	Purdue	23	El Paso, TX
2004-12-30	Continental Tire Bowl	Boston College	37	North Carolina	24	Charlotte, NC
2004-12-30	Emerald Bowl	Navy	34	New Mexico	19	San Francisco, CA
2004-12-30	Holiday Bowl	Texas Tech	45	California	31	San Diego, CA
2004-12-30	Silicon Valley Bowl	Northern Illinois	34	Troy	21	San Jose, CA
2004-12-29	Alamo Bowl	Ohio State	33	Oklahoma State	7	San Antonio, TX
2004-12-29	Houston Bowl	Colorado	33	Texas-El Paso	28	Houston, TX
2004-12-28	Independence Bowl	Iowa State	17	Miami (OH)	13	Shreveport, LA
2004-12-28	Insight Bowl	Oregon State	38	Notre Dame	21	Phoenix, AZ
2004-12-27	Motor City Bowl	Connecticut	39	Toledo	10	Detroit, MI
2004-12-27	MPC Computers Bowl	Fresno State	37	Virginia	34	Boise, ID
2004-12-24	Hawaii Bowl	Hawaii	59	Alabama-Birmingham	40	Honolulu, HI
2004-12-23	Fort Worth Bowl	Cincinnati	32	Marshall	14	Fort Worth, TX
2004-12-23	Las Vegas Bowl	Wyoming	24	UCLA	21	Las Vegas, NV
2004-12-22	GMAC Bowl	Bowling Green State	52	Memphis	35	Mobile, AL
2004-12-21	Champs Sports Bowl	Georgia Tech	51	Syracuse	14	Orlando, FL
2004-12-14	New Orleans Bowl	Southern Mississippi	31	North Texas	10	New Orleans, LA

---2005
2006-01-04	Rose Bowl	Texas	41	Southern California	38	Pasadena, CA
2006-01-03	Orange Bowl	Penn State	26	Florida State	23	Miami, FL
2006-01-02	Capital One Bowl	Wisconsin	24	Auburn	10	Orlando, FL
2006-01-02	Cotton Bowl	Alabama	13	Texas Tech	10	Dallas, TX
2006-01-02	Fiesta Bowl	Ohio State	34	Notre Dame	20	Tempe, AZ
2006-01-02	Gator Bowl	Virginia Tech	35	Louisville	24	Jacksonville, FL
2006-01-02	Outback Bowl	Florida	31	Iowa	24	Tampa, FL
2006-01-02	Sugar Bowl	West Virginia	38	Georgia	35	Atlanta, GA
2005-12-31	Houston Bowl	Texas Christian	27	Iowa State	24	Houston, TX
2005-12-31	Liberty Bowl	Tulsa	31	Fresno State	24	Memphis, TN
2005-12-31	Meineke Car Care Bowl	North Carolina State	14	South Florida	0	Charlotte, NC
2005-12-30	Independence Bowl	Missouri	38	South Carolina	31	Shreveport, LA
2005-12-30	Music City Bowl	Virginia	34	Minnesota	31	Nashville, TN
2005-12-30	Peach Bowl	Louisiana State	40	Miami (FL)	3	Atlanta, GA
2005-12-30	Sun Bowl	UCLA	50	Northwestern	38	El Paso, TX
2005-12-29	Emerald Bowl	Utah	38	Georgia Tech	10	San Francisco, CA
2005-12-29	Holiday Bowl	Oklahoma	17	Oregon	14	San Diego, CA
2005-12-28	Alamo Bowl	Nebraska	32	Michigan	28	San Antonio, TX
2005-12-28	MPC Computers Bowl	Boston College	27	Boise State	21	Boise, ID
2005-12-27	Champs Sports Bowl	Clemson	19	Colorado	10	Orlando, FL
2005-12-27	Insight Bowl	Arizona State	45	Rutgers	40	Phoenix, AZ
2005-12-26	Motor City Bowl	Memphis	38	Akron	31	Detroit, MI
2005-12-24	Hawaii Bowl	Nevada	49	Central Florida	48	Honolulu, HI
2005-12-23	Fort Worth Bowl	Kansas	42	Houston	13	Fort Worth, TX
2005-12-22	Las Vegas Bowl	California	35	Brigham Young	28	Las Vegas, NV
2005-12-22	Poinsettia Bowl	Navy	51	Colorado State	30	San Diego, CA
2005-12-21	GMAC Bowl	Toledo	45	Texas-El Paso	13	Mobile, AL
2005-12-20	New Orleans Bowl	Southern Mississippi	31	Arkansas State	19	Lafayette, LA

---2006
2007-01-08	BCS Championship	Florida	41	Ohio State	14	Glendale, AZ
2007-01-07	GMAC Bowl	Southern Mississippi	28	Ohio	7	Mobile, AL
2007-01-06	International Bowl	Cincinnati	27	Western Michigan	24	Toronto, Canada
2007-01-03	Sugar Bowl	Louisiana State	41	Notre Dame	14	New Orleans, LA
2007-01-02	Orange Bowl	Louisville	24	Wake Forest	13	Miami, FL
2007-01-01	Capital One Bowl	Wisconsin	17	Arkansas	14	Orlando, FL
2007-01-01	Cotton Bowl	Auburn	17	Nebraska	14	Dallas, TX
2007-01-01	Fiesta Bowl	Boise State	43	Oklahoma	42	Glendale, AZ
2007-01-01	Gator Bowl	West Virginia	38	Georgia Tech	35	Jacksonville, FL
2007-01-01	Outback Bowl	Penn State	20	Tennessee	10	Tampa, FL
2007-01-01	Rose Bowl	Southern California	32	Michigan	18	Pasadena, CA
2006-12-31	MPC Computers Bowl	Miami (FL)	21	Nevada	20	Boise, ID
2006-12-30	Alamo Bowl	Texas	26	Iowa	24	San Antonio, TX
2006-12-30	Chick-fil-A Bowl	Georgia	31	Virginia Tech	24	Chick-Fil-A BowlAtlanta, GA
2006-12-30	Meineke Car Care Bowl	Boston College	25	Navy	24	Charlotte, NC
2006-12-29	Champs Sports Bowl	Maryland	24	Purdue	7	Orlando, FL
2006-12-29	Insight Bowl	Texas Tech	44	Minnesota	41	Tempe, AZ
2006-12-29	Liberty Bowl	South Carolina	44	Houston	36	Memphis, TN
2006-12-29	Music City Bowl	Kentucky	28	Clemson	20	Nashville, TN
2006-12-29	Sun Bowl	Oregon State	39	Missouri	38	El Paso, TX
2006-12-28	Holiday Bowl	California	45	Texas A&M	10	San Diego, CA
2006-12-28	Independence Bowl	Oklahoma State	34	Alabama	31	Shreveport, LA
2006-12-28	Texas Bowl	Rutgers	37	Kansas State	10	Houston, TX
2006-12-27	Emerald Bowl	Florida State	44	UCLA	27	San Francisco, CA
2006-12-26	Motor City Bowl	Central Michigan	31	Middle Tennessee State	14	Detroit, MI
2006-12-24	Hawaii Bowl	Hawaii	41	Arizona State	24	Honolulu, HI
2006-12-23	Armed Forces Bowl	Utah	25	Tulsa	13	Fort Worth, TX
2006-12-23	New Mexico Bowl	San Jose State	20	New Mexico	12	Albuquerque, NM
2006-12-23	PapaJohns.com Bowl	South Florida	24	East Carolina	7	Birmingham, AL
2006-12-22	New Orleans Bowl	Troy	41	Rice	17	New Orleans, LA
2006-12-21	Las Vegas Bowl	Brigham Young	38	Oregon	8	Las Vegas, NV
2006-12-19	Poinsettia Bowl	Texas Christian	37	Northern Illinois	7	San Diego, CA

---2007
2008-01-07	BCS Championship	Louisiana State	38	Ohio State	24	New Orleans, LA
2008-01-06	GMAC Bowl	Tulsa	63	Bowling Green State	7	Mobile, AL
2008-01-05	International Bowl	Rutgers	52	Ball State	30	Toronto, Canada
2008-01-03	Orange Bowl	Kansas	24	Virginia Tech	21	Miami, FL
